MemberId,PersonId,LegislatureNumber,MemberCode,LastName,MiddleName,FirstName,FormalName,ShortName,SessionContact,InterimContact,Chamber,District,Seat,Party,Phone,EMail,Building,Room,Comment,IsActive,IsMajority
17:H:Bettye Davis:17,Bettye Davis:17,17,Dab,Davis,,Bettye,Representative Bettye Davis,Davis,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,14-B,,D,,Representative.Bettye.Davis@akleg.gov,,,,true,false
17:S:Steve Frank:14,Steve Frank:14,17,Fra,Frank,,Steve,Senator Steve Frank,Frank,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,K-A,,R,,Senator.Steve.Frank@akleg.gov,,,,true,false
26:H:Sharon Cissna:21,Sharon Cissna:21,26,CIS,Cissna,,Sharon,Representative Sharon Cissna,Cissna,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,22,,D,4653875,Representative.Sharon.Cissna@akleg.gov,CAPITOL,420,,true,false
26:S:Joe Paskvan:26,Joe Paskvan:26,26,PSK,Paskvan,,Joe,Senator Joe Paskvan,Paskvan,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,E,,D,4653709,Senator.Joe.Paskvan@akleg.gov,CAPITOL,7,,true,true
13:H:Robert Bettisworth:11,Robert Bettisworth:11,13,Bet,Bettisworth,,Robert,Representative Robert Bettisworth,Bettisworth,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,20-A,,R,,Representative.Robert.Bettisworth@akleg.gov,,,,true,false
13:H:Barbara Lacher:13,Barbara Lacher:13,13,Lac,Lacher,,Barbara,Representative Barbara Lacher,Lacher,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,16-A,,R,,Representative.Barbara.Lacher@akleg.gov,,,,true,false
13:S:John Sackett:5,John Sackett:5,13,Sac,Sackett,,John,Senator John Sackett,Sackett,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,M,,R,,Senator.John.Sackett@akleg.gov,,,,true,false
24:H:Berta Gardner:24,Berta Gardner:24,24,GAS,Gardner,,Berta,Representative Berta Gardner,Gardner,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,24,,D,4654930,Representative.Berta.Gardner@akleg.gov,CAPITOL,422,,true,false
24:S:Lyman Hoffman:15,Lyman Hoffman:15,24,HOF,Hoffman,,Lyman,Senator Lyman Hoffman,Hoffman,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,S,,D,4654453,Senator.Lyman.Hoffman@akleg.gov,CAPITOL,514,,true,false
24:S:Charlie Huggins:23,Charlie Huggins:23,24,HUG,Huggins,,Charlie,Senator Charlie Huggins,Huggins,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,H,,R,4653878,Senator.Charlie.Huggins@akleg.gov,CAPITOL,417,,true,true
