LegislatureNumber,PersonId,MemberCode,MemberChamber,MemberDistrict,MemberParty,MemberIsMajority,MemberIsActive,MemberComment,MemberEMail,MemberPhone,MemberBuilding,MemberRoom
1,John Rader:1,,H,,,,,,,,,
1,Oral Freeman:1,,H,,,,,,,,,
1,Russ Meekins:1,,H,,,,,,,,,
1,Charles M Jones:1,,H,,,,,,,,,
1,Allen Peterson:1,,H,,,,,,,,,
1,Andrew Hope:1,,H,,,,,,,,,
1,Axel Johnson:1,,H,,,,,,,,,
1,Blanche McSmith:1,,H,,,,,,,,,
1,Bob Giersdorf:1,,H,,,,,,,,,
1,Bruce Kendall:1,,H,,,,,,,,,
1,Charles Fagerstrom:1,,H,,,,,,,,,
1,Charles Franz:1,,H,,,,,,,,,
1,Donald Harris:1,,H,,,,,,,,,
1,Dora Sweeney:1,,H,,,,,,,,,
1,Douglas Gray:1,,H,,,,,,,,,
1,Earl Hillstrand:1,,H,,,,,,,,,
1,Frank Cashel:1,,H,,,,,,,,,
1,Frank Chapados:1,,H,,,,,,,,,
1,Grant Pearson:1,,H,,,,,,,,,
1,Harold Hansen:1,,H,,,,,,,,,
1,Helen Fischer:1,,H,,,,,,,,,
1,Henry Haag:1,,H,,,,,,,,,
1,J Roady:1,,H,,,,,,,,,
1,James Fisher:1,,H,,,,,,,,,
1,James Hoffman:1,,H,,,,,,,,,
1,James Hurley:1,,H,,,,,,,,,
1,James Norene:1,,H,,,,,,,,,
1,Jay Hammond:1,,H,,,,,,,,,
1,John Curtis:1,,H,,,,,,,,,
1,John Hellenthal:1,,H,,,,,,,,,
1,John Longworth:1,,H,,,,,,,,,
1,John Nusunginya:1,,H,,,,,,,,,
1,Morgan Reed:1,,H,,,,,,,,,
1,Peter Deveau:1,,H,,,,,,,,,
1,Peter Kalamarides:1,,H,,,,,,,,,
1,R McCombe:1,,H,,,,,,,,,
1,Richard Greuel:1,,H,,,,,,,,,
1,Robert Blodgett:1,,H,,,,,,,,,
1,Robert Sheldon:1,,H,,,,,,,,,
1,Warren Taylor:1,,H,,,,,,,,,
1,William Erwin:1,,H,,,,,,,,,
1,Jack Coghill:1,,S,,,,,,,,,
1,J Earl Cooper:1,,S,,,,,,,,,
1,Alfred Owen:1,,S,,,,,,,,,
1,B Logan:1,,S,,,,,,,,,
1,Eben Hopson:1,,S,,,,,,,,,
1,Edmund Orbeck:1,,S,,,,,,,,,
1,Frank Peratrovich:1,,S,,,,,,,,,
1,George McNabb:1,,S,,,,,,,,,
1,Howard Bradshaw:1,,S,,,,,,,,,
1,Hubert Gilbert:1,,S,,,,,,,,,
1,Irene Ryan:1,,S,,,,,,,,,
1,Irwin Metcalf:1,,S,,,,,,,,,
1,Jack Weise:1,,S,,,,,,,,,
1,James Nolan:1,,S,,,,,,,,,
1,John McNees:1,,S,,,,,,,,,
1,Lester Bronson:1,,S,,,,,,,,,
1,Ralph Moody:1,,S,,,,,,,,,
1,Robert McNealy:1,,S,,,,,,,,,
1,Seaborn Buckalew:1,,S,,,,,,,,,
1,Thomas Stewart:1,,S,,,,,,,,,
1,W Smith:1,,S,,,,,,,,,
1,William Beltz:1,,S,,,,,,,,,
2,Jalmar Kerttula:2,,H,,,,,,,,,
2,Leo Rhode:2,,H,,,,,,,,,
2,Alfred Widmark:2,,H,,,,,,,,,
2,Andrew Hope:1,,H,,,,,,,,,
2,Arthur Harris:2,,H,,,,,,,,,
2,Arthur Johnson:2,,H,,,,,,,,,
2,Bennie Leonard:2,,H,,,,,,,,,
2,Bruce Kendall:1,,H,,,,,,,,,
2,C Binkley:2,,H,,,,,,,,,
2,Donald Harris:1,,H,,,,,,,,,
2,Dora Sweeney:1,,H,,,,,,,,,
2,Edgar Baggen:2,,H,,,,,,,,,
2,Forbes Baker:2,,H,,,,,,,,,
2,Fr Llorente:2,,H,,,,,,,,,
2,Frank Cashel:1,,H,,,,,,,,,
2,Frank Chapados:1,,H,,,,,,,,,
2,Gilbert Jarvela:2,,H,,,,,,,,,
2,Grace Johnson:2,,H,,,,,,,,,
2,Grant Pearson:1,,H,,,,,,,,,
2,Harold Hansen:1,,H,,,,,,,,,
2,Harold Strandberg:2,,H,,,,,,,,,
2,Henry Pratt:2,,H,,,,,,,,,
2,Jacob Stalker:2,,H,,,,,,,,,
2,James Parsons:2,,H,,,,,,,,,
2,Jay Hammond:1,,H,,,,,,,,,
2,John Hellenthal:1,,H,,,,,,,,,
2,John Longworth:1,,H,,,,,,,,,
2,John Nusunginya:1,,H,,,,,,,,,
2,Kenneth Garrison:2,,H,,,,,,,,,
2,Marcus Jensen:2,,H,,,,,,,,,
2,Morgan Reed:1,,H,,,,,,,,,
2,Peter Deveau:1,,H,,,,,,,,,
2,R Stratton:2,,H,,,,,,,,,
2,Raymond Christiansen:2,,H,,,,,,,,,
2,Robert Blodgett:1,,H,,,,,,,,,
2,Robert Ditman:2,,H,,,,,,,,,
2,Walter Kubley:2,,H,,,,,,,,,
2,Warren Taylor:1,,H,,,,,,,,,
2,William Boardman:2,,H,,,,,,,,,
2,William Erwin:1,,H,,,,,,,,,
2,William Sanders:2,,H,,,,,,,,,
2,Jack Coghill:1,,S,,,,,,,,,
2,Elton Engstrom Sr:2,,S,,,,,,,,,
2,Alfred Owen:1,,S,,,,,,,,,
2,B Logan:1,,S,,,,,,,,,
2,Brad Phillips:2,,S,,,,,,,,,
2,Eben Hopson:1,,S,,,,,,,,,
2,Frank Peratrovich:1,,S,,,,,,,,,
2,George McNabb:1,,S,,,,,,,,,
2,Howard Bradshaw:1,,S,,,,,,,,,
2,Howard Pollock:2,,S,,,,,,,,,
2,Irwin Metcalf:1,,S,,,,,,,,,
2,Jack Weise:1,,S,,,,,,,,,
2,James Nolan:1,,S,,,,,,,,,
2,John McNees:1,,S,,,,,,,,,
2,Lester Bronson:1,,S,,,,,,,,,
2,Paul Greimann:2,,S,,,,,,,,,
2,Pearse Walsh:2,,S,,,,,,,,,
2,Robert McNealy:1,,S,,,,,,,,,
2,Vance Phillips:2,,S,,,,,,,,,
2,W Smith:1,,S,,,,,,,,,
3,Clem Tillion:3,,H,,,,,,,,,
3,John Rader:1,,H,,,,,,,,,
3,Joseph Josephson:3,,H,,,,,,,,,
3,Arthur Harris:2,,H,,,,,,,,,
3,Axel Johnson:1,,H,,,,,,,,,
3,Bennie Leonard:2,,H,,,,,,,,,
3,Bruce Kendall:1,,H,,,,,,,,,
3,C Binkley:2,,H,,,,,,,,,
3,Carl Lottsfeldt:3,,H,,,,,,,,,
3,Charles Cole:3,,H,,,,,,,,,
3,Dora Sweeney:1,,H,,,,,,,,,
3,Earl Hillstrand:1,,H,,,,,,,,,
3,Edgar Baggen:2,,H,,,,,,,,,
3,Eugene Reid:3,,H,,,,,,,,,
3,Forbes Baker:2,,H,,,,,,,,,
3,Frank Cashel:1,,H,,,,,,,,,
3,George Sullivan:3,,H,,,,,,,,,
3,Gilbert Jarvela:2,,H,,,,,,,,,
3,Grant Pearson:1,,H,,,,,,,,,
3,Harold Strandberg:2,,H,,,,,,,,,
3,Homer Moseley:3,,H,,,,,,,,,
3,Jack White:3,,H,,,,,,,,,
3,Jacob Stalker:2,,H,,,,,,,,,
3,James Parsons:2,,H,,,,,,,,,
3,Jay Hammond:1,,H,,,,,,,,,
3,John Holm:3,,H,,,,,,,,,
3,John Longworth:1,,H,,,,,,,,,
3,Keith Miller:3,,H,,,,,,,,,
3,Maurice Smith:3,,H,,,,,,,,,
3,Mike Gravel:3,,H,,,,,,,,,
3,Morgan Reed:1,,H,,,,,,,,,
3,R McCombe:1,,H,,,,,,,,,
3,Raymond Christiansen:2,,H,,,,,,,,,
3,Robert Blodgett:1,,H,,,,,,,,,
3,Robert Ditman:2,,H,,,,,,,,,
3,Walter Kubley:2,,H,,,,,,,,,
3,Warren Taylor:1,,H,,,,,,,,,
3,William Boardman:2,,H,,,,,,,,,
3,William Sanders:2,,H,,,,,,,,,
3,William Whitehead:3,,H,,,,,,,,,
3,William Wiggins:3,,H,,,,,,,,,
3,Jack Coghill:1,,S,,,,,,,,,
3,John Butrovich:3,,S,,,,,,,,,
3,Neal Foster:3,,S,,,,,,,,,
3,Alfred Owen:1,,S,,,,,,,,,
3,Brad Phillips:2,,S,,,,,,,,,
3,David Harrison:3,,S,,,,,,,,,
3,Eben Hopson:1,,S,,,,,,,,,
3,Frank Peratrovich:1,,S,,,,,,,,,
3,Harold Hansen:1,,S,,,,,,,,,
3,Howard Bradshaw:1,,S,,,,,,,,,
3,James Nolan:1,,S,,,,,,,,,
3,John Hall:3,,S,,,,,,,,,
3,Lester Bronson:1,,S,,,,,,,,,
3,Mildred Banfield:3,,S,,,,,,,,,
3,Nicholas Begich:3,,S,,,,,,,,,
3,Pearse Walsh:2,,S,,,,,,,,,
3,Robert McNealy:1,,S,,,,,,,,,
3,Vance Phillips:2,,S,,,,,,,,,
3,W Smith:1,,S,,,,,,,,,
3,Yule Kilcher:3,,S,,,,,,,,,
4,Bill Ray:4,,H,,,,,,,,,
4,Carl Moses:4,,H,,,,,,,,,
4,Clem Tillion:3,,H,,,,,,,,,
4,E Haugen:4,,H,,,,,,,,,
4,Jalmar Kerttula:2,,H,,,,,,,,,
4,John Rader:1,,H,,,,,,,,,
4,Joseph Josephson:3,,H,,,,,,,,,
4,Elton Engstrom Jr:4,,H,,,,,,,,,
4,Axel Johnson:1,,H,,,,,,,,,
4,Barry Jackson:4,,H,,,,,,,,,
4,Bernard Carr:4,,H,,,,,,,,,
4,Bill Poland:4,,H,,,,,,,,,
4,Bruce Kendall:1,,H,,,,,,,,,
4,Carl Brady:4,,H,,,,,,,,,
4,Carl Lottsfeldt:3,,H,,,,,,,,,
4,Charles Sassara:4,,H,,,,,,,,,
4,Earl Hillstrand:1,,H,,,,,,,,,
4,Edmund Orbeck:1,,H,,,,,,,,,
4,Frank See:4,,H,,,,,,,,,
4,Gene Guess:4,,H,,,,,,,,,
4,Harold Strandberg:2,,H,,,,,,,,,
4,Homer Moseley:3,,H,,,,,,,,,
4,Irwin Metcalf:1,,H,,,,,,,,,
4,Jacob Stalker:2,,H,,,,,,,,,
4,John O'Connell:4,,H,,,,,,,,,
4,Joseph McGill:4,,H,,,,,,,,,
4,Lucille Pinkerton:4,,H,,,,,,,,,
4,M Plotnick:4,,H,,,,,,,,,
4,Mike Gravel:3,,H,,,,,,,,,
4,Norbert Skinner:4,,H,,,,,,,,,
4,R McCombe:1,,H,,,,,,,,,
4,Raymond Christiansen:2,,H,,,,,,,,,
4,Robert Ditman:2,,H,,,,,,,,,
4,Robert Sheldon:1,,H,,,,,,,,,
4,Sigurd Wold:4,,H,,,,,,,,,
4,Ted Stevens:4,,H,,,,,,,,,
4,Thomas Balone:4,,H,,,,,,,,,
