PersonId,FullName,FirstName,LastName,MiddleName,NickName,Suffix
A Saylors:8,A Saylors,A,Saylors,,,
Adam Wool:29,Adam Wool,Adam,Wool,,,
Adelheid Herrmann:13,Adelheid Herrmann,Adelheid,Herrmann,,,
Al Vezey:18,Al Vezey,Al,Vezey,,,
Alan Austerman:19,Alan Austerman,Alan,Austerman,,,
Alan Dick:27,Alan Dick,Alan,Dick,,,
Albert Adams:12,Albert Adams,Albert,Adams,,Al,
Albert Kookesh:20,Albert Kookesh,Albert,Kookesh,,,
Alfred Nakak:10,Alfred Nakak,Alfred,Nakak,,,
Alfred Ose:8,Alfred Ose,Alfred,Ose,,,
Alfred Owen:1,Alfred Owen,Alfred,Owen,,,
Alfred Widmark:2,Alfred Widmark,Alfred,Widmark,,,
Allen Kemplen:20,Allen Kemplen,Allen,Kemplen,,,
Allen Peterson:1,Allen Peterson,Allen,Peterson,,,
Alvin Osterback:9,Alvin Osterback,Alvin,Osterback,,,
Alyce Hanley:14,Alyce Hanley,Alyce,Hanley,,,
Alyse Galvin:33,Alyse Galvin,Alyse,Galvin,,,
Andi Story:31,Andi Story,Andi,Story,,,
Andre Marrou:14,Andre Marrou,Andre,Marrou,,,
Andrea Doll:25,Andrea Doll,Andrea,Doll,,,
Andrew Gray:33,Andrew Gray,Andrew,Gray,,,
Andrew Halcro:21,Andrew Halcro,Andrew,Halcro,,,
Andrew Hope:1,Andrew Hope,Andrew,Hope,,,
Andrew Warwick:7,Andrew Warwick,Andrew,Warwick,,,
Andy Josephson:28,Andy Josephson,Andy,Josephson,,,
Ann Spohnholz:16,Ann Spohnholz,Ann,Spohnholz,,,
Anna Fairclough:25,Anna Fairclough,Anna,Fairclough,,,
Anna MacKinnon:29,Anna MacKinnon,Anna,MacKinnon,,,
Anthony Vaska:12,Anthony Vaska,Anthony,Vaska,,,
Arliss Sturgulewski:11,Arliss Sturgulewski,Arliss,Sturgulewski,,,
Arthur Harris:2,Arthur Harris,Arthur,Harris,,,
Arthur Johnson:2,Arthur Johnson,Arthur,Johnson,,,
Ashley Carrick:33,Ashley Carrick,Ashley,Carrick,,,
Axel Johnson:1,Axel Johnson,Axel,Johnson,,,
B Logan:1,B Logan,B,Logan,,,
Barbara Lacher:13,Barbara Lacher,Barbara,Lacher,,,
Barry Jackson:4,Barry Jackson,Barry,Jackson,,,
Bart LeBon:31,Bart LeBon,Bart,LeBon,,,
Ben Carpenter:31,Ben Carpenter,Ben,Carpenter,,,
Ben Grussendorf:12,Ben Grussendorf,Ben,Grussendorf,,,
Ben Stevens:22,Ben Stevens,Ben,Stevens,,,
Benjamin Nageak:28,Benjamin Nageak,Benjamin,Nageak,,,
Bennie Leonard:2,Bennie Leonard,Bennie,Leonard,,,
Bernard Bylsma:12,Bernard Bylsma,Bernard,Bylsma,,,
Bernard Carr:4,Bernard Carr,Bernard,Carr,,,
Bert Sharp:16,Bert Sharp,Bert,Sharp,,,
Bert Stedman:23,Bert Stedman,Bert,Stedman,,,
Berta Gardner:24,Berta Gardner,Berta,Gardner,,,
Beth Kerttula:21,Beth Kerttula,Beth,Kerttula,,,
Bette Cato:12,Bette Cato,Bette,Cato,,,
Betty Bruckman:17,Betty Bruckman,Betty,Bruckman,,,
Bettye Davis:17,Bettye Davis,Bettye,Davis,,,
Bettye Fahrenkamp:11,Bettye Fahrenkamp,Bettye,Fahrenkamp,,,
Beverly Masek:19,Beverly Masek,Beverly,Masek,,,
Bill Elam:34,Bill Elam,Bill,Elam,,,
Bill Hudson:15,Bill Hudson,Bill,Hudson,,,
Bill Miles:10,Bill Miles,Bill,Miles,,,
Bill Poland:4,Bill Poland,Bill,Poland,,,
Bill Ray:4,Bill Ray,Bill,Ray,,,
Bill Stoltze:23,Bill Stoltze,Bill,Stoltze,,,
Bill Sumner:10,Bill Sumner,Bill,Sumner,,,
Bill Thomas:24,Bill Thomas,Bill,Thomas,,,
Bill Wielechowski:25,Bill Wielechowski,Bill,Wielechowski,,,
Bill Williams:18,Bill Williams,William,Williams,,Bill,
Blanche McSmith:1,Blanche McSmith,Blanche,McSmith,,,
Bob Bradley:9,Bob Bradley,Bob,Bradley,,,
Bob Buch:25,Bob Buch,Robert,Buch,L,Bob,
Bob Giersdorf:1,Bob Giersdorf,Bob,Giersdorf,,,
Bob Herron:26,Bob Herron,Bob,Herron,,,
Bob Lynn:23,Bob Lynn,Bob,Lynn,,,
Bob Miller:27,Bob Miller,Bob,Miller,,,
Bob Mulcahy:11,Bob Mulcahy,Bob,Mulcahy,,,
Bob Roses:25,Bob Roses,Bob,Roses,,,
Brad Phillips:2,Brad Phillips,Brad,Phillips,,,
Brenda Itta:9,Brenda Itta,Brenda,Itta,,,
Brian Porter:18,Brian Porter,Brian,Porter,,,
Brian Rogers:11,Brian Rogers,Brian,Rogers,,,
Bruce Kendall:1,Bruce Kendall,Bruce,Kendall,,,
Bruce Weyhrauch:23,Bruce Weyhrauch,Bruce,Weyhrauch,,,
Bryce Edgmon:25,Bryce Edgmon,Bryce,Edgmon,,,
C Binkley:2,C Binkley,C,Binkley,,,
C Chatterton:10,C Chatterton,C,Chatterton,,,
C Swackhammer:15,C Swackhammer,C,Swackhammer,,,
Calvin Schrage:32,Calvin Schrage,Calvin,Schrage,,,
Caren Robinson:19,Caren Robinson,Caren,Robinson,,,
Carl Brady:4,Carl Brady,Carl,Brady,,,
Carl Gatto:23,Carl Gatto,Carl,Gatto,,,
Carl Lottsfeldt:3,Carl Lottsfeldt,Carl,Lottsfeldt,,,
Carl Morgan:21,Carl Morgan,Carl,Morgan,,,
Carl Moses:4,Carl Moses,Carl,Moses,,,
Carolyn Hall:34,Carolyn Hall,Carolyn,Hall,,,
Carroll Fader:17,Carroll Fader,Carroll,Fader,,,
Cathy Giessel:27,Cathy Giessel,Cathy,Giessel,,,
Cathy Muñoz:26,Cathy Muñoz,Cathy,Munoz,Engstrom,,
Cathy Tilton:29,Cathy Tilton,Cathy,Tilton,,,
Chancy Croft:6,Chancy Croft,Chancy,Croft,,,
Charisse Millett:26,Charisse Millett,Charisse,Millett,,,
Charles Anderson:12,Charles Anderson,Charles,Anderson,,,
Charles Bussell:13,Charles Bussell,Charles,Bussell,,,
Charles Cole:3,Charles Cole,Charles,Cole,,,
Charles Fagerstrom:1,Charles Fagerstrom,Charles,Fagerstrom,,,
Charles Franz:1,Charles Franz,Charles,Franz,,,
Charles M Jones:1,Charles M Jones,Charles,Jones,M,,
Charles Parr:9,Charles Parr,Charles,Parr,,,
Charles Powell:5,Charles Powell,Charles,Powell,,,
Charles Sassara:4,Charles Sassara,Charles,Sassara,,,
Charles Wingrove:8,Charles Wingrove,Charles,Wingrove,,,
Charlie Huggins:23,Charlie Huggins,Charlie,Huggins,,,
Cheri Davis:16,Cheri Davis,Cheri,Davis,,,
Cheryll Heinze:23,Cheryll Heinze,Cheryll,Heinze,,,
Chris Birch:30,Chris Birch,Chris,Birch,,,
Chris Tuck:26,Chris Tuck,Chris,Tuck,,,
Christopher Kurka:32,Christopher Kurka,Christopher,Kurka,,,
Chuck Degnan:7,Chuck Degnan,Chuck,Degnan,,,
Chuck Kopp:30,Chuck Kopp,Chuck,Kopp,,,
CJ McCormick:33,CJ McCormick,CJ,McCormick,,,
Clark Gruening:9,Clark Gruening,Clark,Gruening,,,
Clem Tillion:3,Clem Tillion,Clem,Tillion,,,
Click Bishop:28,Click Bishop,Click,Bishop,,,
Cliff Davidson:15,Cliff Davidson,Cliff,Davidson,,,
Cliff Groh:33,Cliff Groh,Cliff,Groh,,,
Clifford Groh:7,Clifford Groh,Clifford,Groh,,,
Clyde Lewis:5,Clyde Lewis,Clyde,Lewis,,,
Colleen Sullivan-Leonard:30,Colleen Sullivan-Leonard,Colleen,Sullivan-Leonard,,,
Con Bunde:18,Con Bunde,Con,Bunde,,,
